BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 14,Sie lösen mit verschiedenen Software-Architektur Ideen wie EVA-Prinzip oder Zustandsautomaten Problemstellungen.,LFB_Pr_BS,,,,LZ_11189,Sie lösen eine einfache Problemstellung mit den Mitteln des Betriebssystems.,K3,7. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,"Zahlensysteme (Binär, Dezimal, Hexadezimal), Unterschied von logischen Verknüpfungen und bitweisen Verknüpfungen (Bsp. &, &&), Code Varianten, Addieren, Subtrahieren und Multiplizieren in Zahlensystemen, Zahlen und deren Abbildung im Mikrocontroller, Zahlenkreis, Schieberegister, 2er-Komplement",0,23,LZ_130,"Sie beschreiben die Grundverknüpfungen UND, ODER, NICHT, NAND, NOR und erkennen deren Symbole.",K2,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_2225,Sie wenden die grundlegenden Gesetze der Schaltalgebra an.,K3,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_2325,"Sie erklären den Aufbau und die Darstellung folgender Zahlensysteme: dezimal, dual, hexadezimal.",K2,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_2326,Sie beschreiben Einschritt- und BCD-Codes.,K2,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_11180,Sie setzen logische oder bitweise Operationen anwendungsgerecht ein.,K3,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_11181,Sie rechnen in verschiedenen Zahlensystemen.,K3,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_11182,Sie verwenden zum Rechnen verschiedene Methoden.,K3,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_11183,Sie verstehen die Darstellung von Zahlen in einem Mikrocontroller.,K2,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 10,Sie führen arithmetische und boolesche Operationen in verschiedenen Zahlensystemen durch.,LFB_Pr_Basis,,,,LZ_11184,"Sie verstehen, was bei einem Überlauf geschieht.",K2,1. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 15,Sie interpretieren Datenblätter bezüglich Energiesparzuständen und legen die Konfiguration passend fest.,LFB_Pr_HW,"Energiesparoptionen in Mikrocontroller und externer HW, Ansatzpunkte für energiesparenden Mikrocontroller-Einsatz ",1,10,LZ_11190,Sie erklären verschiedene Energiespar-Strategien für Mikrocontroller und Peripherie.,K2,6. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 15,Sie interpretieren Datenblätter bezüglich Energiesparzuständen und legen die Konfiguration passend fest.,LFB_Pr_HW,,,,LZ_11191,"Sie identifizieren auf Grund von Datenblättern der Komponenten, wie die Energiespar-Optionen aktiviert werden und wie sie sich auswirken.",K3,6. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 15,Sie interpretieren Datenblätter bezüglich Energiesparzuständen und legen die Konfiguration passend fest.,LFB_Pr_HW,,,,LZ_9573,"Sie konsultieren die Dokumentation des Mikrocontrollers und der Peripheriegeräte, um technische Daten zu identifizieren.",K2,6. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 16,Sie setzen verschiedene digitale oder analoge Schnittstellen an beispielhaften Aufgaben ein.,LFB_Pr_HW,"Hardwarenahes programmieren, Interrupts, serielle Schnittstellen, parallele Schnittstellen, Timer, Bussysteme, Drahtlosmodule, externer Speicher, Displays ",2,63,LZ_11192,Sie setzen unterschiedliche serielle Schnittstellen zur Ansteuerung von externer Hardware ein.,K3,6. Sem.,1
ET,9999 c.01,NQR 4,P,LN 2,BFS,ET c1 16,Sie setzen verschiedene digitale oder analoge Schnittstellen an beispielhaften Aufgaben ein.,LFB_Pr_HW,,,,LZ_11193,Sie realisieren Funktionen mit Hilfe von Timern.,K3,6. Sem.,1
